6,654,1
6,1066,1
6,443,1
6,985,1
6,984,1
7,486,1
7,61,1
7,804,1
7,860,1
7,1154,1
8,315,1
8,324,1
8,995,1
8,1229,1
8,1057,1
8,568,1
9,476,1
9,226,1
9,401,1
9,196,1
10,1271,1
10,18,1
10,561,1
10,227,1
10,818,1
11,33,1
11,444,1
11,646,1
11,624,1
12,492,1
12,1277,1
12,414,1
12,1171,1
13,244,1
13,974,1
13,877,1
13,199,1
14,1072,1
14,1010,1
14,625,1
14,836,1
14,324,1
14,850,1
14,487,1
15,24,1
15,532,1
15,232,1
15,404,1
15,267,1
16,418,1
16,604,1
16,290,1
16,810,1
17,1167,1
17,141,1
17,1297,1
18,289,1
18,592,1
18,1089,1
18,1105,1
18,976,1
19,821,1
19,36,1
19,1222,1
20,91,1
20,970,1
20,663,1
20,546,1
20,304,1
20,954,1
21,646,1
21,1217,1
21,29,1
21,441,1
21,776,1
22,1108,1
22,1282,1
22,722,1
22,873,1
23,897,1
23,737,1
23,58,1
23,649,1
23,195,1
24,312,1
24,558,1
24,400,1
24,411,1
24,1140,1
24,102,1
25,807,1
25,1122,1
25,789,1
25,499,1
25,413,1
26,299,1
26,309,1
26,657,1
26,300,1
26,501,1
26,390,1
27,237,1
27,422,1
27,16,1
27,307,1
27,342,1
27,743,1
27,1053,1
28,1193,1
28,720,1
28,71,1
28,783,1
28,345,1
28,1199,1
28,350,1
29,1055,1
29,610,1
29,594,1
30,729,1
30,561,1
30,401,1
31,27,1
31,1060,1
31,831,1
31,1067,1
31,323,1
31,975,1
31,803,1
32,31,1
32,373,1
32,883,1
33,986,1
33,567,1
33,221,1
34,683,1
34,509,1
34,1157,1
35,398,1
35,367,1
35,1073,1
36,1227,1
36,474,1
36,959,1
37,121,1
37,412,1
37,1080,1
37,113,1
37,90,1
37,919,1
38,642,1
38,1305,1
38,961,1
38,866,1
38,429,1
38,973,1
38,1032,1
39,420,1
39,735,1
39,273,1
39,143,1
39,805,1
40,933,1
40,1250,1
40,1020,1
40,668,1
40,735,1
41,1248,1
41,1161,1
41,1042,1
41,330,1
42,34,1
42,551,1
42,284,1
43,437,1
43,1243,1
43,923,1
43,1090,1
43,1172,1
43,788,1
44,1118,1
44,1200,1
44,838,1
44,437,1
44,699,1
45,533,1
45,833,1
45,1302,1
45,73,1
45,776,1
46,1008,1
46,951,1
46,812,1
46,545,1
47,836,1
47,689,1
47,803,1
47,476,1
47,1037,1
47,702,1
47,70,1
48,141,1
48,32,1
48,613,1
48,192,1
49,375,1
49,472,1
49,945,1
49,332,1
49,809,1
50,1096,1
50,1059,1
50,183,1
51,480,1
51,998,1
51,97,1
52,222,1
52,489,1
52,517,1
53,71,1
53,1093,1
53,985,1
54,342,1
54,838,1
54,613,1
54,1163,1
54,26,1
54,776,1
54,1235,1
55,553,1
55,885,1
55,813,1
55,1062,1
